State In | Module | StartTime | NPV-Stage | StateOut | NPV nextStages | NPVtoend |

ABCDEFGH +    I,      12,         9.2,     ABCDEFGHI,         0.0,         9.2
ABCDEFGI +    H,      11,        22.6,     ABCDEFGHI,         0.0,        22.6
ABCDEFHI +    G,      11,        18.0,     ABCDEFGHI,         0.0,        18.0
ABCEFGHI +    D,      12,        22.9,     ABCDEFGHI,         0.0,        22.9
ACDEFGHI +    B,      11,       250.9,     ABCDEFGHI,         0.0,       250.9

ABCDEFG +    H,      10,        41.2,      ABCDEFGH,         9.2,        50.4
ABCDEFG +    I,      10,        27.8,      ABCDEFGI,        22.6,        50.4
ABCDEFH +    G,      10,        41.2,      ABCDEFGH,         9.2,        50.4
ABCDEFH +    I,      10,        27.8,      ABCDEFHI,        18.0,        45.8
ABCDEFI +    G,       9,        73.7,      ABCDEFGI,        22.6,        96.3
ABCDEFI +    H,       9,        59.9,      ABCDEFHI,        18.0,        77.9
ABCDFHI +    E,      10,       -42.8,      ABCDEFHI,        18.0,       -24.8
ABCEFGH +    D,      11,        32.2,      ABCDEFGH,         9.2,        41.4
ABCEFGH +    I,      11,        18.5,      ABCEFGHI,        22.9,        41.4
ABCEFGI +    D,      10,        50.8,      ABCDEFGI,        22.6,        73.4
ABCEFGI +    H,      10,        41.2,      ABCEFGHI,        22.9,        64.1
ABCEFHI +    D,      10,        50.8,      ABCDEFHI,        18.0,        68.8
ABCEFHI +    G,      10,        41.2,      ABCEFGHI,        22.9,        64.1
ACDEFGH +    B,      10,       339.9,      ABCDEFGH,         9.2,       349.1
ACDEFGH +    I,      10,        27.8,      ACDEFGHI,       250.9,       278.7
ACDEFGI +    B,       9,       424.7,      ABCDEFGI,        22.6,       447.3
ACDEFGI +    H,       9,        59.9,      ACDEFGHI,       250.9,       310.8
ACDEFHI +    B,       9,       424.7,      ABCDEFHI,        18.0,       442.7
ACDEFHI +    G,       9,        73.7,      ACDEFGHI,       250.9,       324.6
ACEFGHI +    B,      10,       339.9,      ABCEFGHI,        22.9,       362.8
ACEFGHI +    D,      10,        50.8,      ACDEFGHI,       250.9,       301.7

ABCDEF +    G,       8,       129.5,       ABCDEFG,        50.4,       179.9
ABCDEF +    H,       8,        78.7,       ABCDEFH,        50.4,       129.1
ABCDEF +    I,       8,        46.6,       ABCDEFI,        96.3,       142.9
ABCDEG +    F,       9,        69.1,       ABCDEFG,        50.4,       119.5
ABCDFH +    E,       9,       -43.0,       ABCDEFH,        50.4,         7.4
ABCDFH +    I,       9,        37.2,       ABCDFHI,         0.0,        37.2
ABCDFI +    E,       8,       -43.2,       ABCDEFI,        96.3,        53.1
ABCDFI +    H,       8,        78.7,       ABCDFHI,         0.0,        78.7
ABCEFG +    D,       9,        78.8,       ABCDEFG,        50.4,       129.2
ABCEFG +    H,       9,        59.9,       ABCEFGH,        41.4,       101.3
ABCEFG +    I,       9,        37.2,       ABCEFGI,        73.4,       110.6
ABCEFH +    D,       9,        78.8,       ABCDEFH,        50.4,       129.2
ABCEFH +    G,       9,        73.7,       ABCEFGH,        41.4,       115.1
ABCEFH +    I,       9,        37.2,       ABCEFHI,        68.8,       106.0
ABCEFI +    D,       8,        97.7,       ABCDEFI,        96.3,       194.0
ABCEFI +    G,       8,       129.5,       ABCEFGI,        73.4,       202.9
